hyp,src,label,p(Hallucination),hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens,hyp_lemmas,src_lemmas
"Come on, daniel-san.","Come, Daniel-san.",Not Hallucination,0.25,come on danielsan,come danielsan,['come on danielsan'],['come danielsan'],"[['come', 'on', 'danielsan']]","[['come', 'danielsan']]","['come', 'on', 'danielsan']","['come', 'danielsan']"
"Ah, Mr. Adams:","Ah, Mr. Adams.",Not Hallucination,0.25,ah mr adams,ah mr adams,['ah mr adams'],['ah mr adams'],"[['ah', 'mr', 'adams']]","[['ah', 'mr', 'adams']]","['ah', 'mr', 'adam']","['ah', 'mr', 'adam']"
You're just gonna ignore it?,Are you just gonna ignore it?,Not Hallucination,0.25,you are just going to ignore it,are you just going to ignore it,['you are just going to ignore it'],['are you just going to ignore it'],"[['you', 'are', 'just', 'going', 'to', 'ignore', 'it']]","[['are', 'you', 'just', 'going', 'to', 'ignore', 'it']]","['you', 'be', 'just', 'go', 'to', 'ignore', 'it']","['be', 'you', 'just', 'go', 'to', 'ignore', 'it']"
Wh-Where's Wallace now?,Where's Wallace?,Not Hallucination,0.5,whwhere is wallace now,where is wallace,['whwhere is wallace now'],['where is wallace'],"[['whwhere', 'is', 'wallace', 'now']]","[['where', 'is', 'wallace']]","['whwhere', 'be', 'wallace', 'now']","['where', 'be', 'wallace']"
Wh-Where's Larkin?,Where's Larkin?,Not Hallucination,0.0,whwhere is larkin,where is larkin,['whwhere is larkin'],['where is larkin'],"[['whwhere', 'is', 'larkin']]","[['where', 'is', 'larkin']]","['whwhere', 'be', 'larkin']","['where', 'be', 'larkin']"
"Don't tell me you don't remember me, dude.",Don't say you don't remember me.,Not Hallucination,0.5,do not tell me you do not remember me dude,do not say you do not remember me,['do not tell me you do not remember me dude'],['do not say you do not remember me'],"[['do', 'not', 'tell', 'me', 'you', 'do', 'not', 'remember', 'me', 'dude']]","[['do', 'not', 'say', 'you', 'do', 'not', 'remember', 'me']]","['do', 'not', 'tell', 'I', 'you', 'do', 'not', 'remember', 'I', 'dude']","['do', 'not', 'say', 'you', 'do', 'not', 'remember', 'I']"
It's Fraulein Spielrein's.,Fraulein Spielrein.,Hallucination,1.0,it is fraulein spielreins,fraulein spielrein,['it is fraulein spielreins'],['fraulein spielrein'],"[['it', 'is', 'fraulein', 'spielreins']]","[['fraulein', 'spielrein']]","['it', 'be', 'fraulein', 'spielrein']","['fraulein', 'spielrein']"
"Take the cane, Colonel","Take the cane, Colonel.",Not Hallucination,0.0,take the cane colonel,take the cane colonel,['take the cane colonel'],['take the cane colonel'],"[['take', 'the', 'cane', 'colonel']]","[['take', 'the', 'cane', 'colonel']]","['take', 'the', 'cane', 'colonel']","['take', 'the', 'cane', 'colonel']"
"Get up, sam..","Get up, Sam.",Not Hallucination,0.25,get up sam,get up sam,['get up sam'],['get up sam'],"[['get', 'up', 'sam']]","[['get', 'up', 'sam']]","['get', 'up', 'sam']","['get', 'up', 'sam']"
"CQ, this is W-9-G-F-F.","CQ, this is W-9 GFO.",Hallucination,1.0,cq this is w9gff,cq this is w9 gfo,['cq this is w9gff'],['cq this is w9 gfo'],"[['cq', 'this', 'is', 'w9gff']]","[['cq', 'this', 'is', 'w9', 'gfo']]","['cq', 'this', 'be', 'w9gff']","['cq', 'this', 'be', 'w9', 'gfo']"
Welcome to mars.,"Welcome to Mars, man.",Not Hallucination,0.25,welcome to mars,welcome to mars man,['welcome to mars'],['welcome to mars man'],"[['welcome', 'to', 'mars']]","[['welcome', 'to', 'mars', 'man']]","['welcome', 'to', 'mar']","['welcome', 'to', 'mar', 'man']"
She wasn't prepared.,She was not ready.,Hallucination,1.0,she was not prepared,she was not ready,['she was not prepared'],['she was not ready'],"[['she', 'was', 'not', 'prepared']]","[['she', 'was', 'not', 'ready']]","['she', 'be', 'not', 'prepare']","['she', 'be', 'not', 'ready']"
Blood's what life is.,Blood is the life.,Hallucination,1.0,bloods what life is,blood is the life,['bloods what life is'],['blood is the life'],"[['bloods', 'what', 'life', 'is']]","[['blood', 'is', 'the', 'life']]","['blood', 'what', 'life', 'be']","['blood', 'be', 'the', 'life']"
Maybe you can use one of these cuffs.,Maybe you can use one of these.,Hallucination,1.0,maybe you can use one of these cuffs,maybe you can use one of these,['maybe you can use one of these cuffs'],['maybe you can use one of these'],"[['maybe', 'you', 'can', 'use', 'one', 'of', 'these', 'cuffs']]","[['maybe', 'you', 'can', 'use', 'one', 'of', 'these']]","['maybe', 'you', 'can', 'use', 'one', 'of', 'this', 'cuff']","['maybe', 'you', 'can', 'use', 'one', 'of', 'this']"
"Oh, thanks, paige.","Oh, thanks, Paige.",Not Hallucination,0.0,oh thanks paige,oh thanks paige,['oh thanks paige'],['oh thanks paige'],"[['oh', 'thanks', 'paige']]","[['oh', 'thanks', 'paige']]","['oh', 'thanks', 'paige']","['oh', 'thanks', 'paige']"
Where are the Elders?,Where are elders?,Hallucination,1.0,where are the elders,where are elders,['where are the elders'],['where are elders'],"[['where', 'are', 'the', 'elders']]","[['where', 'are', 'elders']]","['where', 'be', 'the', 'elder']","['where', 'be', 'elder']"
Do you think he's fond of?,Do you think he loves you?,Hallucination,1.0,do you think he is fond of,do you think he loves you,['do you think he is fond of'],['do you think he loves you'],"[['do', 'you', 'think', 'he', 'is', 'fond', 'of']]","[['do', 'you', 'think', 'he', 'loves', 'you']]","['do', 'you', 'think', 'he', 'be', 'fond', 'of']","['do', 'you', 'think', 'he', 'love', 'you']"
- Shire.,Shire.,Not Hallucination,0.25, shire,shire,[' shire'],['shire'],[['shire']],[['shire']],['shire'],['shire']
Where's Logan?,Where's Logan?,Not Hallucination,0.0,where is logan,where is logan,['where is logan'],['where is logan'],"[['where', 'is', 'logan']]","[['where', 'is', 'logan']]","['where', 'be', 'logan']","['where', 'be', 'logan']"
Don Corleone's.,Don CorIeone.,Hallucination,1.0,don corleones,don corieone,['don corleones'],['don corieone'],"[['don', 'corleones']]","[['don', 'corieone']]","['don', 'corleone']","['don', 'corieone']"
I've been wandering all over this world,I've been all around this world,Hallucination,1.0,i have been wandering all over this world,i have been all around this world,['i have been wandering all over this world'],['i have been all around this world'],"[['i', 'have', 'been', 'wandering', 'all', 'over', 'this', 'world']]","[['i', 'have', 'been', 'all', 'around', 'this', 'world']]","['I', 'have', 'be', 'wonder', 'all', 'over', 'this', 'world']","['I', 'have', 'be', 'all', 'around', 'this', 'world']"
"Thank you, edward","Thank you, Edward.",Not Hallucination,0.0,thank you edward,thank you edward,['thank you edward'],['thank you edward'],"[['thank', 'you', 'edward']]","[['thank', 'you', 'edward']]","['thank', 'you', 'edward']","['thank', 'you', 'edward']"
Melhoff.,Melhoff.,Not Hallucination,0.0,melhoff,melhoff,['melhoff'],['melhoff'],[['melhoff']],[['melhoff']],['melhoff'],['melhoff']
"Thank you, Hubert.","Thank you, Hubert.",Not Hallucination,0.0,thank you hubert,thank you hubert,['thank you hubert'],['thank you hubert'],"[['thank', 'you', 'hubert']]","[['thank', 'you', 'hubert']]","['thank', 'you', 'hubert']","['thank', 'you', 'hubert']"
We're all equals,We're all equal,Not Hallucination,0.25,we are all equals,we are all equal,['we are all equals'],['we are all equal'],"[['we', 'are', 'all', 'equals']]","[['we', 'are', 'all', 'equal']]","['we', 'be', 'all', 'equal']","['we', 'be', 'all', 'equal']"
It's the Kraken.,Kraken.,Hallucination,1.0,it is the kraken,kraken,['it is the kraken'],['kraken'],"[['it', 'is', 'the', 'kraken']]",[['kraken']],"['it', 'be', 'the', 'kraken']",['kraken']
W-where's Silas'?,W-where's Silas?,Hallucination,1.0,wwhere is silas,wwhere is silas,['wwhere is silas'],['wwhere is silas'],"[['wwhere', 'is', 'silas']]","[['wwhere', 'is', 'silas']]","['wwhere', 'be', 'silas']","['wwhere', 'be', 'silas']"
The window's closed- -,The window's closed.,Not Hallucination,0.0,the windows closed ,the windows closed,['the windows closed'],['the windows closed'],"[['the', 'windows', 'closed']]","[['the', 'windows', 'closed']]","['the', 'window', 'close']","['the', 'window', 'close']"
"Thankyou, Hector.","Thank you, Hector.",Not Hallucination,0.33,thankyou hector,thank you hector,['thankyou hector'],['thank you hector'],"[['thankyou', 'hector']]","[['thank', 'you', 'hector']]","['thankyou', 'hector']","['thank', 'you', 'hector']"
He didn't recognise me at all.,Didn't recognize me.,Hallucination,0.67,he did not recognise me at all,did not recognize me,['he did not recognise me at all'],['did not recognize me'],"[['he', 'did', 'not', 'recognise', 'me', 'at', 'all']]","[['did', 'not', 'recognize', 'me']]","['he', 'do', 'not', 'recognise', 'I', 'at', 'all']","['do', 'not', 'recognize', 'I']"
"Seth, are you okay?","Seth, are you all right?",Not Hallucination,0.33,seth are you okay,seth are you all right,['seth are you okay'],['seth are you all right'],"[['seth', 'are', 'you', 'okay']]","[['seth', 'are', 'you', 'all', 'right']]","['seth', 'be', 'you', 'okay']","['seth', 'be', 'you', 'all', 'right']"
"Hyah, hyah, hmm, hmm, hmm.",Hyah! Hmm.,Hallucination,1.0,hyah hyah hmm hmm hmm,hyah hmm,['hyah hyah hmm hmm hmm'],['hyah hmm'],"[['hyah', 'hyah', 'hmm', 'hmm', 'hmm']]","[['hyah', 'hmm']]","['hyah', 'hyah', 'hmm', 'hmm', 'hmm']","['hyah', 'hmm']"
He has sons.,He does have a son.,Hallucination,0.67,he has sons,he does have a son,['he has sons'],['he does have a son'],"[['he', 'has', 'sons']]","[['he', 'does', 'have', 'a', 'son']]","['he', 'have', 'son']","['he', 'do', 'have', 'a', 'son']"
"Thank you, norman","Thank you, Norman.",Not Hallucination,0.33,thank you norman,thank you norman,['thank you norman'],['thank you norman'],"[['thank', 'you', 'norman']]","[['thank', 'you', 'norman']]","['thank', 'you', 'norman']","['thank', 'you', 'norman']"
"Thanks, Miles.","Thank you, Miles.",Not Hallucination,0.33,thanks miles,thank you miles,['thanks miles'],['thank you miles'],"[['thanks', 'miles']]","[['thank', 'you', 'miles']]","['thanks', 'mile']","['thank', 'you', 'mile']"
Twenty-one-one days..,21 days.,Hallucination,1.0,twentyoneone days,21 days,['twentyoneone days'],['21 days'],"[['twentyoneone', 'days']]","[['21', 'days']]","['twentyoneone', 'day']","['21', 'day']"
He's a Muslim.,He's a Muslim.,Not Hallucination,0.0,he is a muslim,he is a muslim,['he is a muslim'],['he is a muslim'],"[['he', 'is', 'a', 'muslim']]","[['he', 'is', 'a', 'muslim']]","['he', 'be', 'a', 'muslim']","['he', 'be', 'a', 'muslim']"
The Book of Shadows.,Book of Shadows.,Not Hallucination,0.33,the book of shadows,book of shadows,['the book of shadows'],['book of shadows'],"[['the', 'book', 'of', 'shadows']]","[['book', 'of', 'shadows']]","['the', 'book', 'of', 'shadow']","['book', 'of', 'shadow']"
It's Kyle Butler.,Kyle Butler.,Hallucination,1.0,it is kyle butler,kyle butler,['it is kyle butler'],['kyle butler'],"[['it', 'is', 'kyle', 'butler']]","[['kyle', 'butler']]","['it', 'be', 'kyle', 'butler']","['kyle', 'butler']"
I'm a brute.,I'm an animal.,Hallucination,1.0,i am a brute,i am an animal,['i am a brute'],['i am an animal'],"[['i', 'am', 'a', 'brute']]","[['i', 'am', 'an', 'animal']]","['I', 'be', 'a', 'brute']","['I', 'be', 'a', 'animal']"
Where's the poolside?,Where's the pool?,Hallucination,1.0,where is the poolside,where is the pool,['where is the poolside'],['where is the pool'],"[['where', 'is', 'the', 'poolside']]","[['where', 'is', 'the', 'pool']]","['where', 'be', 'the', 'poolside']","['where', 'be', 'the', 'pool']"
Gimme..,Gimi.,Hallucination,1.0,give me,gimi,['give me'],['gimi'],"[['give', 'me']]",[['gimi']],"['give', 'I']",['gimi']
"Thank you, ethani.","Thank you, Ethan.",Not Hallucination,0.33,thank you ethani,thank you ethan,['thank you ethani'],['thank you ethan'],"[['thank', 'you', 'ethani']]","[['thank', 'you', 'ethan']]","['thank', 'you', 'ethani']","['thank', 'you', 'ethan']"
"Thank you, owen.","Thank you, Owen.",Not Hallucination,0.0,thank you owen,thank you owen,['thank you owen'],['thank you owen'],"[['thank', 'you', 'owen']]","[['thank', 'you', 'owen']]","['thank', 'you', 'owen']","['thank', 'you', 'owen']"
