,hyp,tgt,src,ref,task,model,hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens,hyp_lemmas,src_lemmas,cosine_similarity,semantic_similarity
27,Himmler's not at the pre-briefing.,,Himmler's not at the briefing.,src,PG,,himmlers not at the prebriefing,himmlers not at the briefing,['himmlers not at the prebriefing'],['himmlers not at the briefing'],"[['himmlers', 'not', 'at', 'the', 'prebriefing']]","[['himmlers', 'not', 'at', 'the', 'briefing']]","['himmler', 'not', 'at', 'the', 'prebriefing']","['himmler', 'not', 'at', 'the', 'briefing']",0.7859693312139575,0.8580194115638733
28,The funds are transfered.,,The funds are transferred.,src,PG,,the funds are transfered,the funds are transferred,['the funds are transfered'],['the funds are transferred'],"[['the', 'funds', 'are', 'transfered']]","[['the', 'funds', 'are', 'transferred']]","['the', 'fund', 'be', 'transfered']","['the', 'fund', 'be', 'transfer']",0.7372100094585111,0.9885345697402954
29,Ships don't just magically appear out of nowhere..,,Ships don'just magically appear out of nowhere.,src,PG,,ships do not just magically appear out of nowhere,ships donjust magically appear out of nowhere,['ships do not just magically appear out of nowhere'],['ships donjust magically appear out of nowhere'],"[['ships', 'do', 'not', 'just', 'magically', 'appear', 'out', 'of', 'nowhere']]","[['ships', 'donjust', 'magically', 'appear', 'out', 'of', 'nowhere']]","['ship', 'do', 'not', 'just', 'magically', 'appear', 'out', 'of', 'nowhere']","['ship', 'donjust', 'magically', 'appear', 'out', 'of', 'nowhere']",0.9385431746088039,0.9618041515350342
30,Nobody's on their own.,,No one's on their own.,src,PG,,nobodys on their own,no ones on their own,['nobodys on their own'],['no ones on their own'],"[['nobodys', 'on', 'their', 'own']]","[['no', 'ones', 'on', 'their', 'own']]","['nobody', 'on', 'their', 'own']","['no', 'one', 'on', 'their', 'own']",0.7384078968761723,0.9879596829414368
31,tyler's not here.,,Tyler's not here.,src,PG,,tylers not here,tylers not here,['tylers not here'],['tylers not here'],"[['tylers', 'not', 'here']]","[['tylers', 'not', 'here']]","['tyler', 'not', 'here']","['tyler', 'not', 'here']",1.0,1.0000001192092896
32,"Hey, Soren, look.",,"Soren, look.",src,PG,,hey soren look,soren look,['hey soren look'],['soren look'],"[['hey', 'soren', 'look']]","[['soren', 'look']]","['hey', 'soren', 'look']","['soren', 'look']",0.9102504937231828,0.8651055097579956
33,"It's a nice run-in, Kev.",,"It was a nice run, Kev.",src,PG,,it is a nice runin kev,it was a nice run kev,['it is a nice runin kev'],['it was a nice run kev'],"[['it', 'is', 'a', 'nice', 'runin', 'kev']]","[['it', 'was', 'a', 'nice', 'run', 'kev']]","['it', 'be', 'a', 'nice', 'runin', 'kev']","['it', 'be', 'a', 'nice', 'run', 'kev']",0.6636376168554738,0.9372462034225464
34,How's chris?,,How's Chris?,src,PG,,how is chris,how is chris,['how is chris'],['how is chris'],"[['how', 'is', 'chris']]","[['how', 'is', 'chris']]","['how', 'be', 'chris']","['how', 'be', 'chris']",1.0,1.0
35,"You know, I've always thought that ""bludgeon"" has a spur-of-the-moment sound, you know?",,"I've always thought that ""bludgeon"" has a spur-of-the-moment sound.",src,PG,,you know i have always thought that bludgeon has a spurofthemoment sound you know,i have always thought that bludgeon has a spurofthemoment sound,['you know i have always thought that bludgeon has a spurofthemoment sound you know'],['i have always thought that bludgeon has a spurofthemoment sound'],"[['you', 'know', 'i', 'have', 'always', 'thought', 'that', 'bludgeon', 'has', 'a', 'spurofthemoment', 'sound', 'you', 'know']]","[['i', 'have', 'always', 'thought', 'that', 'bludgeon', 'has', 'a', 'spurofthemoment', 'sound']]","['you', 'know', 'I', 'have', 'always', 'think', 'that', 'bludgeon', 'have', 'a', 'spurofthemoment', 'sound', 'you', 'know']","['I', 'have', 'always', 'think', 'that', 'bludgeon', 'have', 'a', 'spurofthemoment', 'sound']",0.8839214970923492,0.8878455758094788
36,Five Children.,,Five children.,src,PG,,five children,five children,['five children'],['five children'],"[['five', 'children']]","[['five', 'children']]","['five', 'child']","['five', 'child']",1.0,1.000000238418579
37,"Come on, daniel-san.",,"Come, Daniel-san.",src,PG,,come on danielsan,come danielsan,['come on danielsan'],['come danielsan'],"[['come', 'on', 'danielsan']]","[['come', 'danielsan']]","['come', 'on', 'danielsan']","['come', 'danielsan']",0.9058828098951371,0.9369492530822754
38,"Ah, Mr. Adams:",,"Ah, Mr. Adams.",src,PG,,ah mr adams,ah mr adams,['ah mr adams'],['ah mr adams'],"[['ah', 'mr', 'adams']]","[['ah', 'mr', 'adams']]","['ah', 'mr', 'adam']","['ah', 'mr', 'adam']",1.0,1.0
39,You're just gonna ignore it?,,Are you just gonna ignore it?,src,PG,,you are just going to ignore it,are you just going to ignore it,['you are just going to ignore it'],['are you just going to ignore it'],"[['you', 'are', 'just', 'going', 'to', 'ignore', 'it']]","[['are', 'you', 'just', 'going', 'to', 'ignore', 'it']]","['you', 'be', 'just', 'go', 'to', 'ignore', 'it']","['be', 'you', 'just', 'go', 'to', 'ignore', 'it']",1.0,0.9884917736053467
40,Wh-Where's Wallace now?,,Where's Wallace?,src,PG,,whwhere is wallace now,where is wallace,['whwhere is wallace now'],['where is wallace'],"[['whwhere', 'is', 'wallace', 'now']]","[['where', 'is', 'wallace']]","['whwhere', 'be', 'wallace', 'now']","['where', 'be', 'wallace']",0.6802423590687714,0.6544962525367737
41,Wh-Where's Larkin?,,Where's Larkin?,src,PG,,whwhere is larkin,where is larkin,['whwhere is larkin'],['where is larkin'],"[['whwhere', 'is', 'larkin']]","[['where', 'is', 'larkin']]","['whwhere', 'be', 'larkin']","['where', 'be', 'larkin']",0.7499060457829438,0.8539700508117676
42,"Don't tell me you don't remember me, dude.",,Don't say you don't remember me.,src,PG,,do not tell me you do not remember me dude,do not say you do not remember me,['do not tell me you do not remember me dude'],['do not say you do not remember me'],"[['do', 'not', 'tell', 'me', 'you', 'do', 'not', 'remember', 'me', 'dude']]","[['do', 'not', 'say', 'you', 'do', 'not', 'remember', 'me']]","['do', 'not', 'tell', 'I', 'you', 'do', 'not', 'remember', 'I', 'dude']","['do', 'not', 'say', 'you', 'do', 'not', 'remember', 'I']",0.7527163705842985,0.9208393096923828
43,It's Fraulein Spielrein's.,,Fraulein Spielrein.,src,PG,,it is fraulein spielreins,fraulein spielrein,['it is fraulein spielreins'],['fraulein spielrein'],"[['it', 'is', 'fraulein', 'spielreins']]","[['fraulein', 'spielrein']]","['it', 'be', 'fraulein', 'spielrein']","['fraulein', 'spielrein']",0.9588949962763962,0.7154475450515747
44,"Take the cane, Colonel",,"Take the cane, Colonel.",src,PG,,take the cane colonel,take the cane colonel,['take the cane colonel'],['take the cane colonel'],"[['take', 'the', 'cane', 'colonel']]","[['take', 'the', 'cane', 'colonel']]","['take', 'the', 'cane', 'colonel']","['take', 'the', 'cane', 'colonel']",1.0000000000000002,1.000000238418579
45,"Get up, sam..",,"Get up, Sam.",src,PG,,get up sam,get up sam,['get up sam'],['get up sam'],"[['get', 'up', 'sam']]","[['get', 'up', 'sam']]","['get', 'up', 'sam']","['get', 'up', 'sam']",1.0,0.9999998211860657
46,"CQ, this is W-9-G-F-F.",,"CQ, this is W-9 GFO.",src,PG,,cq this is w9gff,cq this is w9 gfo,['cq this is w9gff'],['cq this is w9 gfo'],"[['cq', 'this', 'is', 'w9gff']]","[['cq', 'this', 'is', 'w9', 'gfo']]","['cq', 'this', 'be', 'w9gff']","['cq', 'this', 'be', 'w9', 'gfo']",0.7409943115593436,0.9439427852630615
47,Welcome to mars.,,"Welcome to Mars, man.",src,PG,,welcome to mars,welcome to mars man,['welcome to mars'],['welcome to mars man'],"[['welcome', 'to', 'mars']]","[['welcome', 'to', 'mars', 'man']]","['welcome', 'to', 'mar']","['welcome', 'to', 'mar', 'man']",0.9220607095566384,0.9065536260604858
48,She wasn't prepared.,,She was not ready.,src,PG,,she was not prepared,she was not ready,['she was not prepared'],['she was not ready'],"[['she', 'was', 'not', 'prepared']]","[['she', 'was', 'not', 'ready']]","['she', 'be', 'not', 'prepare']","['she', 'be', 'not', 'ready']",0.34910696375219713,0.9433870911598206
49,Blood's what life is.,,Blood is the life.,src,PG,,bloods what life is,blood is the life,['bloods what life is'],['blood is the life'],"[['bloods', 'what', 'life', 'is']]","[['blood', 'is', 'the', 'life']]","['blood', 'what', 'life', 'be']","['blood', 'be', 'the', 'life']",0.8866740278132785,0.9455562829971313
50,Maybe you can use one of these cuffs.,,Maybe you can use one of these.,src,PG,,maybe you can use one of these cuffs,maybe you can use one of these,['maybe you can use one of these cuffs'],['maybe you can use one of these'],"[['maybe', 'you', 'can', 'use', 'one', 'of', 'these', 'cuffs']]","[['maybe', 'you', 'can', 'use', 'one', 'of', 'these']]","['maybe', 'you', 'can', 'use', 'one', 'of', 'this', 'cuff']","['maybe', 'you', 'can', 'use', 'one', 'of', 'this']",0.8467385384547871,0.7949656248092651
51,"Oh, thanks, paige.",,"Oh, thanks, Paige.",src,PG,,oh thanks paige,oh thanks paige,['oh thanks paige'],['oh thanks paige'],"[['oh', 'thanks', 'paige']]","[['oh', 'thanks', 'paige']]","['oh', 'thanks', 'paige']","['oh', 'thanks', 'paige']",1.0,0.9999999403953552
52,Where are the Elders?,,Where are elders?,src,PG,,where are the elders,where are elders,['where are the elders'],['where are elders'],"[['where', 'are', 'the', 'elders']]","[['where', 'are', 'elders']]","['where', 'be', 'the', 'elder']","['where', 'be', 'elder']",0.946594581926053,0.976888120174408
53,Do you think he's fond of?,,Do you think he loves you?,src,PG,,do you think he is fond of,do you think he loves you,['do you think he is fond of'],['do you think he loves you'],"[['do', 'you', 'think', 'he', 'is', 'fond', 'of']]","[['do', 'you', 'think', 'he', 'loves', 'you']]","['do', 'you', 'think', 'he', 'be', 'fond', 'of']","['do', 'you', 'think', 'he', 'love', 'you']",0.5033436725011854,0.8368663787841797
54,- Shire.,,Shire.,src,PG,, shire,shire,[' shire'],['shire'],[['shire']],[['shire']],['shire'],['shire'],1.0,1.0000001192092896
55,Where's Logan?,,Where's Logan?,src,PG,,where is logan,where is logan,['where is logan'],['where is logan'],"[['where', 'is', 'logan']]","[['where', 'is', 'logan']]","['where', 'be', 'logan']","['where', 'be', 'logan']",1.0,1.0
56,Don Corleone's.,,Don CorIeone.,src,PG,,don corleones,don corieone,['don corleones'],['don corieone'],"[['don', 'corleones']]","[['don', 'corieone']]","['don', 'corleon']","['don', 'corieone']",0.6704896244325314,0.8874344825744629
57,I've been wandering all over this world,,I've been all around this world,src,PG,,i have been wandering all over this world,i have been all around this world,['i have been wandering all over this world'],['i have been all around this world'],"[['i', 'have', 'been', 'wandering', 'all', 'over', 'this', 'world']]","[['i', 'have', 'been', 'all', 'around', 'this', 'world']]","['I', 'have', 'be', 'wonder', 'all', 'over', 'this', 'world']","['I', 'have', 'be', 'all', 'around', 'this', 'world']",0.5807628924702906,0.7631874084472656
58,"Thank you, edward",,"Thank you, Edward.",src,PG,,thank you edward,thank you edward,['thank you edward'],['thank you edward'],"[['thank', 'you', 'edward']]","[['thank', 'you', 'edward']]","['thank', 'you', 'edward']","['thank', 'you', 'edward']",1.0000000000000002,1.0
59,Melhoff.,,Melhoff.,src,PG,,melhoff,melhoff,['melhoff'],['melhoff'],[['melhoff']],[['melhoff']],['melhoff'],['melhoff'],1.0,1.0
60,"Thank you, Hubert.",,"Thank you, Hubert.",src,PG,,thank you hubert,thank you hubert,['thank you hubert'],['thank you hubert'],"[['thank', 'you', 'hubert']]","[['thank', 'you', 'hubert']]","['thank', 'you', 'hubert']","['thank', 'you', 'hubert']",1.0,1.0
61,We're all equals,,We're all equal,src,PG,,we are all equals,we are all equal,['we are all equals'],['we are all equal'],"[['we', 'are', 'all', 'equals']]","[['we', 'are', 'all', 'equal']]","['we', 'be', 'all', 'equal']","['we', 'be', 'all', 'equal']",1.0000000000000002,1.0
62,It's the Kraken.,,Kraken.,src,PG,,it is the kraken,kraken,['it is the kraken'],['kraken'],"[['it', 'is', 'the', 'kraken']]",[['kraken']],"['it', 'be', 'the', 'kraken']",['kraken'],0.8691785804312872,0.6741362810134888
63,W-where's Silas'?,,W-where's Silas?,src,PG,,wwhere is silas,wwhere is silas,['wwhere is silas'],['wwhere is silas'],"[['wwhere', 'is', 'silas']]","[['wwhere', 'is', 'silas']]","['wwhere', 'be', 'sila']","['wwhere', 'be', 'sila']",1.0000000000000002,1.0
64,The window's closed- -,,The window's closed.,src,PG,,the windows closed ,the windows closed,['the windows closed'],['the windows closed'],"[['the', 'windows', 'closed']]","[['the', 'windows', 'closed']]","['the', 'window', 'close']","['the', 'window', 'close']",1.0000000000000002,0.9999998807907104
65,"Thankyou, Hector.",,"Thank you, Hector.",src,PG,,thankyou hector,thank you hector,['thankyou hector'],['thank you hector'],"[['thankyou', 'hector']]","[['thank', 'you', 'hector']]","['thankyou', 'hector']","['thank', 'you', 'hector']",0.6555952578857176,0.9696364402770996
66,He didn't recognise me at all.,,Didn't recognize me.,src,PG,,he did not recognise me at all,did not recognize me,['he did not recognise me at all'],['did not recognize me'],"[['he', 'did', 'not', 'recognise', 'me', 'at', 'all']]","[['did', 'not', 'recognize', 'me']]","['he', 'do', 'not', 'recognise', 'I', 'at', 'all']","['do', 'not', 'recognize', 'I']",0.18942431889426667,0.779072642326355
67,"Seth, are you okay?",,"Seth, are you all right?",src,PG,,seth are you okay,seth are you all right,['seth are you okay'],['seth are you all right'],"[['seth', 'are', 'you', 'okay']]","[['seth', 'are', 'you', 'all', 'right']]","['seth', 'be', 'you', 'okay']","['seth', 'be', 'you', 'all', 'right']",0.6612806199713325,0.8970844149589539
68,"Hyah, hyah, hmm, hmm, hmm.",,Hyah! Hmm.,src,PG,,hyah hyah hmm hmm hmm,hyah hmm,['hyah hyah hmm hmm hmm'],['hyah hmm'],"[['hyah', 'hyah', 'hmm', 'hmm', 'hmm']]","[['hyah', 'hmm']]","['hyah', 'hyah', 'hmm', 'hmm', 'hmm']","['hyah', 'hmm']",0.9799674150989357,0.9575082063674927
69,He has sons.,,He does have a son.,src,PG,,he has sons,he does have a son,['he has sons'],['he does have a son'],"[['he', 'has', 'sons']]","[['he', 'does', 'have', 'a', 'son']]","['he', 'have', 'son']","['he', 'do', 'have', 'a', 'son']",0.9332768572068608,0.9782756567001343
70,"Thank you, norman",,"Thank you, Norman.",src,PG,,thank you norman,thank you norman,['thank you norman'],['thank you norman'],"[['thank', 'you', 'norman']]","[['thank', 'you', 'norman']]","['thank', 'you', 'norman']","['thank', 'you', 'norman']",1.0000000000000002,1.0000001192092896
71,"Thanks, Miles.",,"Thank you, Miles.",src,PG,,thanks miles,thank you miles,['thanks miles'],['thank you miles'],"[['thanks', 'miles']]","[['thank', 'you', 'miles']]","['thanks', 'mile']","['thank', 'you', 'mile']",0.7266167514507548,0.9792270660400391
72,Twenty-one-one days..,,21 days.,src,PG,,twentyoneone days,21 days,['twentyoneone days'],['21 days'],"[['twentyoneone', 'days']]","[['21', 'days']]","['twentyoneone', 'day']","['21', 'day']",0.5698457605668141,0.8638251423835754
