hyp,src,label,hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens
"It's Frankfurt, Germany.","Frankfurt, Germany.",Hallucination,it is frankfurt germany,frankfurt germany,['it is frankfurt germany'],['frankfurt germany'],"[['it', 'is', 'frankfurt', 'germany']]","[['frankfurt', 'germany']]"
Enemies are matching speed.,Enemy is matching velocity.,Hallucination,enemies are matching speed,enemy is matching velocity,['enemies are matching speed'],['enemy is matching velocity'],"[['enemies', 'are', 'matching', 'speed']]","[['enemy', 'is', 'matching', 'velocity']]"
Call the john.,Call John.,Hallucination,call the john,call john,['call the john'],['call john'],"[['call', 'the', 'john']]","[['call', 'john']]"
Bernadette's asking for a prenuptial.,Bernadette wants a prenup.,Hallucination,bernadettes asking for a prenuptial,bernadette wants a prenup,['bernadettes asking for a prenuptial'],['bernadette wants a prenup'],"[['bernadettes', 'asking', 'for', 'a', 'prenuptial']]","[['bernadette', 'wants', 'a', 'prenup']]"
And yet I see no children exiting from the vehicle.,and yet i see no children emerging from the vehicle.,Not Hallucination,and yet i see no children exiting from the vehicle,and yet i see no children emerging from the vehicle,['and yet i see no children exiting from the vehicle'],['and yet i see no children emerging from the vehicle'],"[['and', 'yet', 'i', 'see', 'no', 'children', 'exiting', 'from', 'the', 'vehicle']]","[['and', 'yet', 'i', 'see', 'no', 'children', 'emerging', 'from', 'the', 'vehicle']]"
I wasn't advanced to ranger.,I was not advanced to Ranger.,Not Hallucination,i was not advanced to ranger,i was not advanced to ranger,['i was not advanced to ranger'],['i was not advanced to ranger'],"[['i', 'was', 'not', 'advanced', 'to', 'ranger']]","[['i', 'was', 'not', 'advanced', 'to', 'ranger']]"
It's time to take a breather.,It's time to breathe.,Hallucination,it is time to take a breather,it is time to breathe,['it is time to take a breather'],['it is time to breathe'],"[['it', 'is', 'time', 'to', 'take', 'a', 'breather']]","[['it', 'is', 'time', 'to', 'breathe']]"
I'm not leaving here until I have my thousand dollars.,I'm not leaving here till I have my thousand dollars.,Not Hallucination,i am not leaving here until i have my thousand dollars,i am not leaving here till i have my thousand dollars,['i am not leaving here until i have my thousand dollars'],['i am not leaving here till i have my thousand dollars'],"[['i', 'am', 'not', 'leaving', 'here', 'until', 'i', 'have', 'my', 'thousand', 'dollars']]","[['i', 'am', 'not', 'leaving', 'here', 'till', 'i', 'have', 'my', 'thousand', 'dollars']]"
B-braga.,Braga.,Hallucination,bbraga,braga,['bbraga'],['braga'],[['bbraga']],[['braga']]
"Who's EIIise, huh?",Who's Elise?,Hallucination,who is eiiise huh,who is elise,['who is eiiise huh'],['who is elise'],"[['who', 'is', 'eiiise', 'huh']]","[['who', 'is', 'elise']]"
Himmler's not at the pre-briefing.,Himmler's not at the briefing.,Hallucination,himmlers not at the prebriefing,himmlers not at the briefing,['himmlers not at the prebriefing'],['himmlers not at the briefing'],"[['himmlers', 'not', 'at', 'the', 'prebriefing']]","[['himmlers', 'not', 'at', 'the', 'briefing']]"
The funds are transfered.,The funds are transferred.,Hallucination,the funds are transfered,the funds are transferred,['the funds are transfered'],['the funds are transferred'],"[['the', 'funds', 'are', 'transfered']]","[['the', 'funds', 'are', 'transferred']]"
Ships don't just magically appear out of nowhere..,Ships don'just magically appear out of nowhere.,Hallucination,ships do not just magically appear out of nowhere,ships donjust magically appear out of nowhere,['ships do not just magically appear out of nowhere'],['ships donjust magically appear out of nowhere'],"[['ships', 'do', 'not', 'just', 'magically', 'appear', 'out', 'of', 'nowhere']]","[['ships', 'donjust', 'magically', 'appear', 'out', 'of', 'nowhere']]"
Nobody's on their own.,No one's on their own.,Not Hallucination,nobodys on their own,no ones on their own,['nobodys on their own'],['no ones on their own'],"[['nobodys', 'on', 'their', 'own']]","[['no', 'ones', 'on', 'their', 'own']]"
tyler's not here.,Tyler's not here.,Not Hallucination,tylers not here,tylers not here,['tylers not here'],['tylers not here'],"[['tylers', 'not', 'here']]","[['tylers', 'not', 'here']]"
"Hey, Soren, look.","Soren, look.",Not Hallucination,hey soren look,soren look,['hey soren look'],['soren look'],"[['hey', 'soren', 'look']]","[['soren', 'look']]"
"It's a nice run-in, Kev.","It was a nice run, Kev.",Hallucination,it is a nice runin kev,it was a nice run kev,['it is a nice runin kev'],['it was a nice run kev'],"[['it', 'is', 'a', 'nice', 'runin', 'kev']]","[['it', 'was', 'a', 'nice', 'run', 'kev']]"
How's chris?,How's Chris?,Not Hallucination,how is chris,how is chris,['how is chris'],['how is chris'],"[['how', 'is', 'chris']]","[['how', 'is', 'chris']]"
"You know, I've always thought that ""bludgeon"" has a spur-of-the-moment sound, you know?","I've always thought that ""bludgeon"" has a spur-of-the-moment sound.",Not Hallucination,you know i have always thought that bludgeon has a spurofthemoment sound you know,i have always thought that bludgeon has a spurofthemoment sound,['you know i have always thought that bludgeon has a spurofthemoment sound you know'],['i have always thought that bludgeon has a spurofthemoment sound'],"[['you', 'know', 'i', 'have', 'always', 'thought', 'that', 'bludgeon', 'has', 'a', 'spurofthemoment', 'sound', 'you', 'know']]","[['i', 'have', 'always', 'thought', 'that', 'bludgeon', 'has', 'a', 'spurofthemoment', 'sound']]"
Five Children.,Five children.,Not Hallucination,five children,five children,['five children'],['five children'],"[['five', 'children']]","[['five', 'children']]"
"Come on, daniel-san.","Come, Daniel-san.",Not Hallucination,come on danielsan,come danielsan,['come on danielsan'],['come danielsan'],"[['come', 'on', 'danielsan']]","[['come', 'danielsan']]"
"Ah, Mr. Adams:","Ah, Mr. Adams.",Not Hallucination,ah mr adams,ah mr adams,['ah mr adams'],['ah mr adams'],"[['ah', 'mr', 'adams']]","[['ah', 'mr', 'adams']]"
You're just gonna ignore it?,Are you just gonna ignore it?,Not Hallucination,you are just going to ignore it,are you just going to ignore it,['you are just going to ignore it'],['are you just going to ignore it'],"[['you', 'are', 'just', 'going', 'to', 'ignore', 'it']]","[['are', 'you', 'just', 'going', 'to', 'ignore', 'it']]"
Wh-Where's Wallace now?,Where's Wallace?,Not Hallucination,whwhere is wallace now,where is wallace,['whwhere is wallace now'],['where is wallace'],"[['whwhere', 'is', 'wallace', 'now']]","[['where', 'is', 'wallace']]"
Wh-Where's Larkin?,Where's Larkin?,Not Hallucination,whwhere is larkin,where is larkin,['whwhere is larkin'],['where is larkin'],"[['whwhere', 'is', 'larkin']]","[['where', 'is', 'larkin']]"
"Don't tell me you don't remember me, dude.",Don't say you don't remember me.,Not Hallucination,do not tell me you do not remember me dude,do not say you do not remember me,['do not tell me you do not remember me dude'],['do not say you do not remember me'],"[['do', 'not', 'tell', 'me', 'you', 'do', 'not', 'remember', 'me', 'dude']]","[['do', 'not', 'say', 'you', 'do', 'not', 'remember', 'me']]"
It's Fraulein Spielrein's.,Fraulein Spielrein.,Hallucination,it is fraulein spielreins,fraulein spielrein,['it is fraulein spielreins'],['fraulein spielrein'],"[['it', 'is', 'fraulein', 'spielreins']]","[['fraulein', 'spielrein']]"
"Take the cane, Colonel","Take the cane, Colonel.",Not Hallucination,take the cane colonel,take the cane colonel,['take the cane colonel'],['take the cane colonel'],"[['take', 'the', 'cane', 'colonel']]","[['take', 'the', 'cane', 'colonel']]"
"Get up, sam..","Get up, Sam.",Not Hallucination,get up sam,get up sam,['get up sam'],['get up sam'],"[['get', 'up', 'sam']]","[['get', 'up', 'sam']]"
"CQ, this is W-9-G-F-F.","CQ, this is W-9 GFO.",Hallucination,cq this is w9gff,cq this is w9 gfo,['cq this is w9gff'],['cq this is w9 gfo'],"[['cq', 'this', 'is', 'w9gff']]","[['cq', 'this', 'is', 'w9', 'gfo']]"
Welcome to mars.,"Welcome to Mars, man.",Not Hallucination,welcome to mars,welcome to mars man,['welcome to mars'],['welcome to mars man'],"[['welcome', 'to', 'mars']]","[['welcome', 'to', 'mars', 'man']]"
She wasn't prepared.,She was not ready.,Hallucination,she was not prepared,she was not ready,['she was not prepared'],['she was not ready'],"[['she', 'was', 'not', 'prepared']]","[['she', 'was', 'not', 'ready']]"
Blood's what life is.,Blood is the life.,Hallucination,bloods what life is,blood is the life,['bloods what life is'],['blood is the life'],"[['bloods', 'what', 'life', 'is']]","[['blood', 'is', 'the', 'life']]"
Maybe you can use one of these cuffs.,Maybe you can use one of these.,Hallucination,maybe you can use one of these cuffs,maybe you can use one of these,['maybe you can use one of these cuffs'],['maybe you can use one of these'],"[['maybe', 'you', 'can', 'use', 'one', 'of', 'these', 'cuffs']]","[['maybe', 'you', 'can', 'use', 'one', 'of', 'these']]"
"Oh, thanks, paige.","Oh, thanks, Paige.",Not Hallucination,oh thanks paige,oh thanks paige,['oh thanks paige'],['oh thanks paige'],"[['oh', 'thanks', 'paige']]","[['oh', 'thanks', 'paige']]"
Where are the Elders?,Where are elders?,Hallucination,where are the elders,where are elders,['where are the elders'],['where are elders'],"[['where', 'are', 'the', 'elders']]","[['where', 'are', 'elders']]"
Do you think he's fond of?,Do you think he loves you?,Hallucination,do you think he is fond of,do you think he loves you,['do you think he is fond of'],['do you think he loves you'],"[['do', 'you', 'think', 'he', 'is', 'fond', 'of']]","[['do', 'you', 'think', 'he', 'loves', 'you']]"
- Shire.,Shire.,Not Hallucination, shire,shire,[' shire'],['shire'],[['shire']],[['shire']]
Where's Logan?,Where's Logan?,Not Hallucination,where is logan,where is logan,['where is logan'],['where is logan'],"[['where', 'is', 'logan']]","[['where', 'is', 'logan']]"
Don Corleone's.,Don CorIeone.,Hallucination,don corleones,don corieone,['don corleones'],['don corieone'],"[['don', 'corleones']]","[['don', 'corieone']]"
I've been wandering all over this world,I've been all around this world,Hallucination,i have been wandering all over this world,i have been all around this world,['i have been wandering all over this world'],['i have been all around this world'],"[['i', 'have', 'been', 'wandering', 'all', 'over', 'this', 'world']]","[['i', 'have', 'been', 'all', 'around', 'this', 'world']]"
"Thank you, edward","Thank you, Edward.",Not Hallucination,thank you edward,thank you edward,['thank you edward'],['thank you edward'],"[['thank', 'you', 'edward']]","[['thank', 'you', 'edward']]"
Melhoff.,Melhoff.,Not Hallucination,melhoff,melhoff,['melhoff'],['melhoff'],[['melhoff']],[['melhoff']]
"Thank you, Hubert.","Thank you, Hubert.",Not Hallucination,thank you hubert,thank you hubert,['thank you hubert'],['thank you hubert'],"[['thank', 'you', 'hubert']]","[['thank', 'you', 'hubert']]"
We're all equals,We're all equal,Not Hallucination,we are all equals,we are all equal,['we are all equals'],['we are all equal'],"[['we', 'are', 'all', 'equals']]","[['we', 'are', 'all', 'equal']]"
It's the Kraken.,Kraken.,Hallucination,it is the kraken,kraken,['it is the kraken'],['kraken'],"[['it', 'is', 'the', 'kraken']]",[['kraken']]
W-where's Silas'?,W-where's Silas?,Hallucination,wwhere is silas,wwhere is silas,['wwhere is silas'],['wwhere is silas'],"[['wwhere', 'is', 'silas']]","[['wwhere', 'is', 'silas']]"
The window's closed- -,The window's closed.,Not Hallucination,the windows closed ,the windows closed,['the windows closed'],['the windows closed'],"[['the', 'windows', 'closed']]","[['the', 'windows', 'closed']]"
"Thankyou, Hector.","Thank you, Hector.",Not Hallucination,thankyou hector,thank you hector,['thankyou hector'],['thank you hector'],"[['thankyou', 'hector']]","[['thank', 'you', 'hector']]"
He didn't recognise me at all.,Didn't recognize me.,Hallucination,he did not recognise me at all,did not recognize me,['he did not recognise me at all'],['did not recognize me'],"[['he', 'did', 'not', 'recognise', 'me', 'at', 'all']]","[['did', 'not', 'recognize', 'me']]"
"Seth, are you okay?","Seth, are you all right?",Not Hallucination,seth are you okay,seth are you all right,['seth are you okay'],['seth are you all right'],"[['seth', 'are', 'you', 'okay']]","[['seth', 'are', 'you', 'all', 'right']]"
"Hyah, hyah, hmm, hmm, hmm.",Hyah! Hmm.,Hallucination,hyah hyah hmm hmm hmm,hyah hmm,['hyah hyah hmm hmm hmm'],['hyah hmm'],"[['hyah', 'hyah', 'hmm', 'hmm', 'hmm']]","[['hyah', 'hmm']]"
He has sons.,He does have a son.,Hallucination,he has sons,he does have a son,['he has sons'],['he does have a son'],"[['he', 'has', 'sons']]","[['he', 'does', 'have', 'a', 'son']]"
"Thank you, norman","Thank you, Norman.",Not Hallucination,thank you norman,thank you norman,['thank you norman'],['thank you norman'],"[['thank', 'you', 'norman']]","[['thank', 'you', 'norman']]"
"Thanks, Miles.","Thank you, Miles.",Not Hallucination,thanks miles,thank you miles,['thanks miles'],['thank you miles'],"[['thanks', 'miles']]","[['thank', 'you', 'miles']]"
Twenty-one-one days..,21 days.,Hallucination,twentyoneone days,21 days,['twentyoneone days'],['21 days'],"[['twentyoneone', 'days']]","[['21', 'days']]"
He's a Muslim.,He's a Muslim.,Not Hallucination,he is a muslim,he is a muslim,['he is a muslim'],['he is a muslim'],"[['he', 'is', 'a', 'muslim']]","[['he', 'is', 'a', 'muslim']]"
The Book of Shadows.,Book of Shadows.,Not Hallucination,the book of shadows,book of shadows,['the book of shadows'],['book of shadows'],"[['the', 'book', 'of', 'shadows']]","[['book', 'of', 'shadows']]"
It's Kyle Butler.,Kyle Butler.,Hallucination,it is kyle butler,kyle butler,['it is kyle butler'],['kyle butler'],"[['it', 'is', 'kyle', 'butler']]","[['kyle', 'butler']]"
I'm a brute.,I'm an animal.,Hallucination,i am a brute,i am an animal,['i am a brute'],['i am an animal'],"[['i', 'am', 'a', 'brute']]","[['i', 'am', 'an', 'animal']]"
Where's the poolside?,Where's the pool?,Hallucination,where is the poolside,where is the pool,['where is the poolside'],['where is the pool'],"[['where', 'is', 'the', 'poolside']]","[['where', 'is', 'the', 'pool']]"
Gimme..,Gimi.,Hallucination,give me,gimi,['give me'],['gimi'],"[['give', 'me']]",[['gimi']]
"Thank you, ethani.","Thank you, Ethan.",Not Hallucination,thank you ethani,thank you ethan,['thank you ethani'],['thank you ethan'],"[['thank', 'you', 'ethani']]","[['thank', 'you', 'ethan']]"
"Thank you, owen.","Thank you, Owen.",Not Hallucination,thank you owen,thank you owen,['thank you owen'],['thank you owen'],"[['thank', 'you', 'owen']]","[['thank', 'you', 'owen']]"
"We need more water, yo.",We need more water.,Not Hallucination,we need more water yo,we need more water,['we need more water yo'],['we need more water'],"[['we', 'need', 'more', 'water', 'yo']]","[['we', 'need', 'more', 'water']]"
I want to see your eyes.,I wanna see your eyes.,Not Hallucination,i want to see your eyes,i want to see your eyes,['i want to see your eyes'],['i want to see your eyes'],"[['i', 'want', 'to', 'see', 'your', 'eyes']]","[['i', 'want', 'to', 'see', 'your', 'eyes']]"
"Morning, Sarah.","Good morning, Sarah.",Not Hallucination,morning sarah,good morning sarah,['morning sarah'],['good morning sarah'],"[['morning', 'sarah']]","[['good', 'morning', 'sarah']]"
"Thank you, molly.","Thank you, Molly.",Not Hallucination,thank you molly,thank you molly,['thank you molly'],['thank you molly'],"[['thank', 'you', 'molly']]","[['thank', 'you', 'molly']]"
Who's mary?,Who's Mary?,Not Hallucination,who is mary,who is mary,['who is mary'],['who is mary'],"[['who', 'is', 'mary']]","[['who', 'is', 'mary']]"
"Morning, annie.","Good morning, Annie.",Not Hallucination,morning annie,good morning annie,['morning annie'],['good morning annie'],"[['morning', 'annie']]","[['good', 'morning', 'annie']]"
What's she lookin 'for?,What's she looking for?,Hallucination,what is she lookin for,what is she looking for,['what is she lookin for'],['what is she looking for'],"[['what', 'is', 'she', 'lookin', 'for']]","[['what', 'is', 'she', 'looking', 'for']]"
It's joshy.,It's Josh.,Hallucination,it is joshy,it is josh,['it is joshy'],['it is josh'],"[['it', 'is', 'joshy']]","[['it', 'is', 'josh']]"
"Hey, bella.","Hey, Bella.",Not Hallucination,hey bella,hey bella,['hey bella'],['hey bella'],"[['hey', 'bella']]","[['hey', 'bella']]"
"Thankyou, Jessica.","Thank you, Jessica.",Not Hallucination,thankyou jessica,thank you jessica,['thankyou jessica'],['thank you jessica'],"[['thankyou', 'jessica']]","[['thank', 'you', 'jessica']]"
"Thank you, kathy.","Thank you, Kathy.",Not Hallucination,thank you kathy,thank you kathy,['thank you kathy'],['thank you kathy'],"[['thank', 'you', 'kathy']]","[['thank', 'you', 'kathy']]"
Warsawa..,Warsaw.,Hallucination,warsawa,warsaw,['warsawa'],['warsaw'],[['warsawa']],[['warsaw']]
"Cannibal, cannibal, please.",Cannibal.,Hallucination,cannibal cannibal please,cannibal,['cannibal cannibal please'],['cannibal'],"[['cannibal', 'cannibal', 'please']]",[['cannibal']]
BosIey.,BosIey.,Not Hallucination,bosiey,bosiey,['bosiey'],['bosiey'],[['bosiey']],[['bosiey']]
Dean you okay?,"Dean, you all right?",Hallucination,dean you okay,dean you all right,['dean you okay'],['dean you all right'],"[['dean', 'you', 'okay']]","[['dean', 'you', 'all', 'right']]"
Champagne for y'all.,Champagne for everybody.,Not Hallucination,champagne for you all,champagne for everybody,['champagne for you all'],['champagne for everybody'],"[['champagne', 'for', 'you', 'all']]","[['champagne', 'for', 'everybody']]"
Where is the bride?,Where's the bride?,Not Hallucination,where is the bride,where is the bride,['where is the bride'],['where is the bride'],"[['where', 'is', 'the', 'bride']]","[['where', 'is', 'the', 'bride']]"
I'm at the bridge.,I'm at the bridge.,Not Hallucination,i am at the bridge,i am at the bridge,['i am at the bridge'],['i am at the bridge'],"[['i', 'am', 'at', 'the', 'bridge']]","[['i', 'am', 'at', 'the', 'bridge']]"
The water's boiling.,The water's boiling.,Not Hallucination,the waters boiling,the waters boiling,['the waters boiling'],['the waters boiling'],"[['the', 'waters', 'boiling']]","[['the', 'waters', 'boiling']]"
I'm going to have a Son.,I'm going to have a son.,Not Hallucination,i am going to have a son,i am going to have a son,['i am going to have a son'],['i am going to have a son'],"[['i', 'am', 'going', 'to', 'have', 'a', 'son']]","[['i', 'am', 'going', 'to', 'have', 'a', 'son']]"
"Thanks, Natalie.","Thank you, Natalie.",Not Hallucination,thanks natalie,thank you natalie,['thanks natalie'],['thank you natalie'],"[['thanks', 'natalie']]","[['thank', 'you', 'natalie']]"
His son's lame.,His son's dead.,Hallucination,his sons lame,his sons dead,['his sons lame'],['his sons dead'],"[['his', 'sons', 'lame']]","[['his', 'sons', 'dead']]"
Do you hear the tune?,Do you hear music?,Hallucination,do you hear the tune,do you hear music,['do you hear the tune'],['do you hear music'],"[['do', 'you', 'hear', 'the', 'tune']]","[['do', 'you', 'hear', 'music']]"
A hunting accident- -,A hunting accident.,Hallucination,a hunting accident ,a hunting accident,['a hunting accident'],['a hunting accident'],"[['a', 'hunting', 'accident']]","[['a', 'hunting', 'accident']]"
It's Ivan Locke,It's Ivan Locke.,Not Hallucination,it is ivan locke,it is ivan locke,['it is ivan locke'],['it is ivan locke'],"[['it', 'is', 'ivan', 'locke']]","[['it', 'is', 'ivan', 'locke']]"
Where's the princessa?,Where's the princess?,Hallucination,where is the princessa,where is the princess,['where is the princessa'],['where is the princess'],"[['where', 'is', 'the', 'princessa']]","[['where', 'is', 'the', 'princess']]"
"Thank you, hollyy.","Thank you, Holly.",Hallucination,thank you hollyy,thank you holly,['thank you hollyy'],['thank you holly'],"[['thank', 'you', 'hollyy']]","[['thank', 'you', 'holly']]"
Whwhat beach?,What beach?,Hallucination,whwhat beach,what beach,['whwhat beach'],['what beach'],"[['whwhat', 'beach']]","[['what', 'beach']]"
She doesn't have lovers.,She doesn't have any friends.,Hallucination,she does not have lovers,she does not have any friends,['she does not have lovers'],['she does not have any friends'],"[['she', 'does', 'not', 'have', 'lovers']]","[['she', 'does', 'not', 'have', 'any', 'friends']]"
"6-0, 6-0, 6-0, 6-0, 6-0.",650.,Hallucination,60 60 60 60 60,650,['60 60 60 60 60'],['650'],"[['60', '60', '60', '60', '60']]",[['650']]
"Thank you,  Leon.","Thank you, Leon.",Not Hallucination,thank you  leon,thank you leon,['thank you  leon'],['thank you leon'],"[['thank', 'you', 'leon']]","[['thank', 'you', 'leon']]"
It's my handwriting.,It is my handwriting.,Not Hallucination,it is my handwriting,it is my handwriting,['it is my handwriting'],['it is my handwriting'],"[['it', 'is', 'my', 'handwriting']]","[['it', 'is', 'my', 'handwriting']]"
He's got your eyes.,He's got your eyes.,Not Hallucination,he is got your eyes,he is got your eyes,['he is got your eyes'],['he is got your eyes'],"[['he', 'is', 'got', 'your', 'eyes']]","[['he', 'is', 'got', 'your', 'eyes']]"
1 1 1 minutes.,11 minutes.,Hallucination,1 1 1 minutes,11 minutes,['1 1 1 minutes'],['11 minutes'],"[['1', '1', '1', 'minutes']]","[['11', 'minutes']]"
Where's tracys?,Where's Tracy?,Hallucination,where is tracys,where is tracy,['where is tracys'],['where is tracy'],"[['where', 'is', 'tracys']]","[['where', 'is', 'tracy']]"
Where's Oliver?,Where's Oliver?,Not Hallucination,where is oliver,where is oliver,['where is oliver'],['where is oliver'],"[['where', 'is', 'oliver']]","[['where', 'is', 'oliver']]"
I'm a chaser.,I'm a hunter.,Hallucination,i am a chaser,i am a hunter,['i am a chaser'],['i am a hunter'],"[['i', 'am', 'a', 'chaser']]","[['i', 'am', 'a', 'hunter']]"
Where's greg?,Where's Greg?,Not Hallucination,where is greg,where is greg,['where is greg'],['where is greg'],"[['where', 'is', 'greg']]","[['where', 'is', 'greg']]"
"Thanks, carlos.","Thank you, Carlos.",Hallucination,thanks carlos,thank you carlos,['thanks carlos'],['thank you carlos'],"[['thanks', 'carlos']]","[['thank', 'you', 'carlos']]"
"Thanks, Alfredo.","Thank you, Alfred.",Hallucination,thanks alfredo,thank you alfred,['thanks alfredo'],['thank you alfred'],"[['thanks', 'alfredo']]","[['thank', 'you', 'alfred']]"
Gandhi,Gandhi?,Not Hallucination,gandhi,gandhi,['gandhi'],['gandhi'],[['gandhi']],[['gandhi']]
He believes in you.,He believes in you.,Not Hallucination,he believes in you,he believes in you,['he believes in you'],['he believes in you'],"[['he', 'believes', 'in', 'you']]","[['he', 'believes', 'in', 'you']]"
The bar's open-ended.,Bar's open.,Hallucination,the bars openended,bars open,['the bars openended'],['bars open'],"[['the', 'bars', 'openended']]","[['bars', 'open']]"
