hyp,tgt,label,hyp_normalized,tgt_normalized,hyp_sentences,tgt_sentences,hyp_tokens,tgt_tokens
She started working in her new office.,She began to get the feel of her new office.,Hallucination,she started working in her new office,she began to get the feel of her new office,['she started working in her new office'],['she began to get the feel of her new office'],"[['she', 'started', 'working', 'in', 'her', 'new', 'office']]","[['she', 'began', 'to', 'get', 'the', 'feel', 'of', 'her', 'new', 'office']]"
I don't have anything to do right now.,I don't have anything to do now.,Not Hallucination,i do not have anything to do right now,i do not have anything to do now,['i do not have anything to do right now'],['i do not have anything to do now'],"[['i', 'do', 'not', 'have', 'anything', 'to', 'do', 'right', 'now']]","[['i', 'do', 'not', 'have', 'anything', 'to', 'do', 'now']]"
The equator divides the earth into two hemispheres.,The equator divides the earth into two hemispheres.,Not Hallucination,the equator divides the earth into two hemispheres,the equator divides the earth into two hemispheres,['the equator divides the earth into two hemispheres'],['the equator divides the earth into two hemispheres'],"[['the', 'equator', 'divides', 'the', 'earth', 'into', 'two', 'hemispheres']]","[['the', 'equator', 'divides', 'the', 'earth', 'into', 'two', 'hemispheres']]"
I would like to become a Christian.,I would like to become a Christian.,Not Hallucination,i would like to become a christian,i would like to become a christian,['i would like to become a christian'],['i would like to become a christian'],"[['i', 'would', 'like', 'to', 'become', 'a', 'christian']]","[['i', 'would', 'like', 'to', 'become', 'a', 'christian']]"
Everyone will be jealous of you.,Everyone will envy you.,Not Hallucination,everyone will be jealous of you,everyone will envy you,['everyone will be jealous of you'],['everyone will envy you'],"[['everyone', 'will', 'be', 'jealous', 'of', 'you']]","[['everyone', 'will', 'envy', 'you']]"
Tom bought a new piano.,Tom bought himself a new piano.,Not Hallucination,tom bought a new piano,tom bought himself a new piano,['tom bought a new piano'],['tom bought himself a new piano'],"[['tom', 'bought', 'a', 'new', 'piano']]","[['tom', 'bought', 'himself', 'a', 'new', 'piano']]"
Did you know Tom had three brothers?,Did you know that Tom had three brothers?,Not Hallucination,did you know tom had three brothers,did you know that tom had three brothers,['did you know tom had three brothers'],['did you know that tom had three brothers'],"[['did', 'you', 'know', 'tom', 'had', 'three', 'brothers']]","[['did', 'you', 'know', 'that', 'tom', 'had', 'three', 'brothers']]"
Don't let Tom jump on the bed.,Don't let Tom jump on the bed.,Not Hallucination,do not let tom jump on the bed,do not let tom jump on the bed,['do not let tom jump on the bed'],['do not let tom jump on the bed'],"[['do', 'not', 'let', 'tom', 'jump', 'on', 'the', 'bed']]","[['do', 'not', 'let', 'tom', 'jump', 'on', 'the', 'bed']]"
I promise to be punctual.,"From now on, I promise to be punctual.",Not Hallucination,i promise to be punctual,from now on i promise to be punctual,['i promise to be punctual'],['from now on i promise to be punctual'],"[['i', 'promise', 'to', 'be', 'punctual']]","[['from', 'now', 'on', 'i', 'promise', 'to', 'be', 'punctual']]"
Share this with each other.,Divide this among yourselves.,Not Hallucination,share this with each other,divide this among yourselves,['share this with each other'],['divide this among yourselves'],"[['share', 'this', 'with', 'each', 'other']]","[['divide', 'this', 'among', 'yourselves']]"
Tom has a choice.,Tom has a choice.,Not Hallucination,tom has a choice,tom has a choice,['tom has a choice'],['tom has a choice'],"[['tom', 'has', 'a', 'choice']]","[['tom', 'has', 'a', 'choice']]"
We hope we don't need to do that.,We're hoping we won't have to do that.,Not Hallucination,we hope we do not need to do that,we are hoping we will not have to do that,['we hope we do not need to do that'],['we are hoping we will not have to do that'],"[['we', 'hope', 'we', 'do', 'not', 'need', 'to', 'do', 'that']]","[['we', 'are', 'hoping', 'we', 'will', 'not', 'have', 'to', 'do', 'that']]"
How did you persuade him?,How did you convince him?,Not Hallucination,how did you persuade him,how did you convince him,['how did you persuade him'],['how did you convince him'],"[['how', 'did', 'you', 'persuade', 'him']]","[['how', 'did', 'you', 'convince', 'him']]"
"Tom saw Mary, but didn't tell her anything.","Tom saw Mary, but didn't say anything to her.",Not Hallucination,tom saw mary but did not tell her anything,tom saw mary but did not say anything to her,['tom saw mary but did not tell her anything'],['tom saw mary but did not say anything to her'],"[['tom', 'saw', 'mary', 'but', 'did', 'not', 'tell', 'her', 'anything']]","[['tom', 'saw', 'mary', 'but', 'did', 'not', 'say', 'anything', 'to', 'her']]"
I don’t like the cold in winter.,What I hate about winter is the cold.,Not Hallucination,i do not like the cold in winter,what i hate about winter is the cold,['i do not like the cold in winter'],['what i hate about winter is the cold'],"[['i', 'do', 'not', 'like', 'the', 'cold', 'in', 'winter']]","[['what', 'i', 'hate', 'about', 'winter', 'is', 'the', 'cold']]"
Tom met Mary a year ago.,Tom met Mary a year ago.,Not Hallucination,tom met mary a year ago,tom met mary a year ago,['tom met mary a year ago'],['tom met mary a year ago'],"[['tom', 'met', 'mary', 'a', 'year', 'ago']]","[['tom', 'met', 'mary', 'a', 'year', 'ago']]"
"I don't need white paper, I need coloured paper.",I don't need white but coloured paper.,Not Hallucination,i do not need white paper i need coloured paper,i do not need white but coloured paper,['i do not need white paper i need coloured paper'],['i do not need white but coloured paper'],"[['i', 'do', 'not', 'need', 'white', 'paper', 'i', 'need', 'coloured', 'paper']]","[['i', 'do', 'not', 'need', 'white', 'but', 'coloured', 'paper']]"
Tom's buying clothes at the mall.,Tom buys clothes at the mall.,Not Hallucination,toms buying clothes at the mall,tom buys clothes at the mall,['toms buying clothes at the mall'],['tom buys clothes at the mall'],"[['toms', 'buying', 'clothes', 'at', 'the', 'mall']]","[['tom', 'buys', 'clothes', 'at', 'the', 'mall']]"
"I just didn't care, you know?","I really didn't care, you know?",Not Hallucination,i just did not care you know,i really did not care you know,['i just did not care you know'],['i really did not care you know'],"[['i', 'just', 'did', 'not', 'care', 'you', 'know']]","[['i', 'really', 'did', 'not', 'care', 'you', 'know']]"
Can you give me your feather knife?,Can you give me your pocket knife?,Hallucination,can you give me your feather knife,can you give me your pocket knife,['can you give me your feather knife'],['can you give me your pocket knife'],"[['can', 'you', 'give', 'me', 'your', 'feather', 'knife']]","[['can', 'you', 'give', 'me', 'your', 'pocket', 'knife']]"
I want to talk to you about this report.,I want to talk to you about this report.,Not Hallucination,i want to talk to you about this report,i want to talk to you about this report,['i want to talk to you about this report'],['i want to talk to you about this report'],"[['i', 'want', 'to', 'talk', 'to', 'you', 'about', 'this', 'report']]","[['i', 'want', 'to', 'talk', 'to', 'you', 'about', 'this', 'report']]"
I've lost my clothes.,My clothes are gone.,Hallucination,i have lost my clothes,my clothes are gone,['i have lost my clothes'],['my clothes are gone'],"[['i', 'have', 'lost', 'my', 'clothes']]","[['my', 'clothes', 'are', 'gone']]"
Tom noticed that the door was open.,Tom noticed that the door was open.,Not Hallucination,tom noticed that the door was open,tom noticed that the door was open,['tom noticed that the door was open'],['tom noticed that the door was open'],"[['tom', 'noticed', 'that', 'the', 'door', 'was', 'open']]","[['tom', 'noticed', 'that', 'the', 'door', 'was', 'open']]"
Her husband is rich.,Her husband is rich.,Not Hallucination,her husband is rich,her husband is rich,['her husband is rich'],['her husband is rich'],"[['her', 'husband', 'is', 'rich']]","[['her', 'husband', 'is', 'rich']]"
Is it impossible or just difficult?,Is it impossible or just hard?,Not Hallucination,is it impossible or just difficult,is it impossible or just hard,['is it impossible or just difficult'],['is it impossible or just hard'],"[['is', 'it', 'impossible', 'or', 'just', 'difficult']]","[['is', 'it', 'impossible', 'or', 'just', 'hard']]"
That proposal lacks a point.,This sentence needs a period.,Hallucination,that proposal lacks a point,this sentence needs a period,['that proposal lacks a point'],['this sentence needs a period'],"[['that', 'proposal', 'lacks', 'a', 'point']]","[['this', 'sentence', 'needs', 'a', 'period']]"
Maria closed her face with her hands.,Maria covered her face with her hands.,Hallucination,maria closed her face with her hands,maria covered her face with her hands,['maria closed her face with her hands'],['maria covered her face with her hands'],"[['maria', 'closed', 'her', 'face', 'with', 'her', 'hands']]","[['maria', 'covered', 'her', 'face', 'with', 'her', 'hands']]"
You'd better go help her.,You'd better go help her.,Not Hallucination,you would better go help her,you would better go help her,['you would better go help her'],['you would better go help her'],"[['you', 'would', 'better', 'go', 'help', 'her']]","[['you', 'would', 'better', 'go', 'help', 'her']]"
I thought you were Canadian.,I thought that you were Canadian.,Not Hallucination,i thought you were canadian,i thought that you were canadian,['i thought you were canadian'],['i thought that you were canadian'],"[['i', 'thought', 'you', 'were', 'canadian']]","[['i', 'thought', 'that', 'you', 'were', 'canadian']]"
Tom divorced Mary last year.,Tom divorced Mary last year.,Not Hallucination,tom divorced mary last year,tom divorced mary last year,['tom divorced mary last year'],['tom divorced mary last year'],"[['tom', 'divorced', 'mary', 'last', 'year']]","[['tom', 'divorced', 'mary', 'last', 'year']]"
Come on!,Give me a break!,Hallucination,come on,give me a break,['come on'],['give me a break'],"[['come', 'on']]","[['give', 'me', 'a', 'break']]"
Tom doesn't think there's life on Mars.,Tom doesn't think there is any life on Mars.,Not Hallucination,tom does not think there is life on mars,tom does not think there is any life on mars,['tom does not think there is life on mars'],['tom does not think there is any life on mars'],"[['tom', 'does', 'not', 'think', 'there', 'is', 'life', 'on', 'mars']]","[['tom', 'does', 'not', 'think', 'there', 'is', 'any', 'life', 'on', 'mars']]"
Phoenicians are healthy food.,Dates are a healthy food.,Hallucination,phoenicians are healthy food,dates are a healthy food,['phoenicians are healthy food'],['dates are a healthy food'],"[['phoenicians', 'are', 'healthy', 'food']]","[['dates', 'are', 'a', 'healthy', 'food']]"
Tom dived into the water and sailed to that shore.,Tom dove into the water and swam to the other side.,Hallucination,tom dived into the water and sailed to that shore,tom dove into the water and swam to the other side,['tom dived into the water and sailed to that shore'],['tom dove into the water and swam to the other side'],"[['tom', 'dived', 'into', 'the', 'water', 'and', 'sailed', 'to', 'that', 'shore']]","[['tom', 'dove', 'into', 'the', 'water', 'and', 'swam', 'to', 'the', 'other', 'side']]"
You're not fair.,You're being unfair.,Not Hallucination,you are not fair,you are being unfair,['you are not fair'],['you are being unfair'],"[['you', 'are', 'not', 'fair']]","[['you', 'are', 'being', 'unfair']]"
I knew Tom wasn’t strong at chess.,I knew that Tom wasn't good at chess.,Not Hallucination,i knew tom was not strong at chess,i knew that tom was not good at chess,['i knew tom was not strong at chess'],['i knew that tom was not good at chess'],"[['i', 'knew', 'tom', 'was', 'not', 'strong', 'at', 'chess']]","[['i', 'knew', 'that', 'tom', 'was', 'not', 'good', 'at', 'chess']]"
I need to make an important announcement.,I have an important announcement to make.,Not Hallucination,i need to make an important announcement,i have an important announcement to make,['i need to make an important announcement'],['i have an important announcement to make'],"[['i', 'need', 'to', 'make', 'an', 'important', 'announcement']]","[['i', 'have', 'an', 'important', 'announcement', 'to', 'make']]"
Do you often get cold?,Do you frequently get colds?,Not Hallucination,do you often get cold,do you frequently get colds,['do you often get cold'],['do you frequently get colds'],"[['do', 'you', 'often', 'get', 'cold']]","[['do', 'you', 'frequently', 'get', 'colds']]"
I kissed Tom on his forehead.,I kissed Tom on the forehead.,Not Hallucination,i kissed tom on his forehead,i kissed tom on the forehead,['i kissed tom on his forehead'],['i kissed tom on the forehead'],"[['i', 'kissed', 'tom', 'on', 'his', 'forehead']]","[['i', 'kissed', 'tom', 'on', 'the', 'forehead']]"
I added a page to the bookmarks.,I bookmarked the page.,Hallucination,i added a page to the bookmarks,i bookmarked the page,['i added a page to the bookmarks'],['i bookmarked the page'],"[['i', 'added', 'a', 'page', 'to', 'the', 'bookmarks']]","[['i', 'bookmarked', 'the', 'page']]"
He bought a minibar in his room.,He bought a mini fridge for his dorm room.,Hallucination,he bought a minibar in his room,he bought a mini fridge for his dorm room,['he bought a minibar in his room'],['he bought a mini fridge for his dorm room'],"[['he', 'bought', 'a', 'minibar', 'in', 'his', 'room']]","[['he', 'bought', 'a', 'mini', 'fridge', 'for', 'his', 'dorm', 'room']]"
I hope you did not forget to invite Tom.,I hope that you didn't forget to invite Tom.,Not Hallucination,i hope you did not forget to invite tom,i hope that you did not forget to invite tom,['i hope you did not forget to invite tom'],['i hope that you did not forget to invite tom'],"[['i', 'hope', 'you', 'did', 'not', 'forget', 'to', 'invite', 'tom']]","[['i', 'hope', 'that', 'you', 'did', 'not', 'forget', 'to', 'invite', 'tom']]"
Who hasn’t dreamed of their own chef?,Who hasn't dreamt of having their own personal chef?,Not Hallucination,who has not dreamed of their own chef,who has not dreamt of having their own personal chef,['who has not dreamed of their own chef'],['who has not dreamt of having their own personal chef'],"[['who', 'has', 'not', 'dreamed', 'of', 'their', 'own', 'chef']]","[['who', 'has', 'not', 'dreamt', 'of', 'having', 'their', 'own', 'personal', 'chef']]"
Pristina is the capital of Kosovo.,Pristina is the capital of Kosovo.,Not Hallucination,pristina is the capital of kosovo,pristina is the capital of kosovo,['pristina is the capital of kosovo'],['pristina is the capital of kosovo'],"[['pristina', 'is', 'the', 'capital', 'of', 'kosovo']]","[['pristina', 'is', 'the', 'capital', 'of', 'kosovo']]"
Bear is black.,The bear is black.,Hallucination,bear is black,the bear is black,['bear is black'],['the bear is black'],"[['bear', 'is', 'black']]","[['the', 'bear', 'is', 'black']]"
The lighting began to fade.,The lights began to dim.,Hallucination,the lighting began to fade,the lights began to dim,['the lighting began to fade'],['the lights began to dim'],"[['the', 'lighting', 'began', 'to', 'fade']]","[['the', 'lights', 'began', 'to', 'dim']]"
He and I are soul mates.,He and I are kindred spirits.,Hallucination,he and i are soul mates,he and i are kindred spirits,['he and i are soul mates'],['he and i are kindred spirits'],"[['he', 'and', 'i', 'are', 'soul', 'mates']]","[['he', 'and', 'i', 'are', 'kindred', 'spirits']]"
Is it Czech?,Is that Czech?,Not Hallucination,is it czech,is that czech,['is it czech'],['is that czech'],"[['is', 'it', 'czech']]","[['is', 'that', 'czech']]"
I know what happened.,I know what happened.,Not Hallucination,i know what happened,i know what happened,['i know what happened'],['i know what happened'],"[['i', 'know', 'what', 'happened']]","[['i', 'know', 'what', 'happened']]"
Sometimes I find it difficult to speak French.,I sometimes struggle to speak French.,Hallucination,sometimes i find it difficult to speak french,i sometimes struggle to speak french,['sometimes i find it difficult to speak french'],['i sometimes struggle to speak french'],"[['sometimes', 'i', 'find', 'it', 'difficult', 'to', 'speak', 'french']]","[['i', 'sometimes', 'struggle', 'to', 'speak', 'french']]"
We live outside the city now.,We live in the country now.,Hallucination,we live outside the city now,we live in the country now,['we live outside the city now'],['we live in the country now'],"[['we', 'live', 'outside', 'the', 'city', 'now']]","[['we', 'live', 'in', 'the', 'country', 'now']]"
I don't care about those things.,I don't worry about those things.,Hallucination,i do not care about those things,i do not worry about those things,['i do not care about those things'],['i do not worry about those things'],"[['i', 'do', 'not', 'care', 'about', 'those', 'things']]","[['i', 'do', 'not', 'worry', 'about', 'those', 'things']]"
I had blood in my urine.,I had blood in my urine.,Not Hallucination,i had blood in my urine,i had blood in my urine,['i had blood in my urine'],['i had blood in my urine'],"[['i', 'had', 'blood', 'in', 'my', 'urine']]","[['i', 'had', 'blood', 'in', 'my', 'urine']]"
"Tom’s father, who is in prison, never writes to Tom.","Tom's father, who is in prison, never writes to Tom.",Not Hallucination,toms father who is in prison never writes to tom,toms father who is in prison never writes to tom,['toms father who is in prison never writes to tom'],['toms father who is in prison never writes to tom'],"[['toms', 'father', 'who', 'is', 'in', 'prison', 'never', 'writes', 'to', 'tom']]","[['toms', 'father', 'who', 'is', 'in', 'prison', 'never', 'writes', 'to', 'tom']]"
Just give us everything.,Just leave everything to us.,Not Hallucination,just give us everything,just leave everything to us,['just give us everything'],['just leave everything to us'],"[['just', 'give', 'us', 'everything']]","[['just', 'leave', 'everything', 'to', 'us']]"
You don't like your name?,Don't you like your name?,Not Hallucination,you do not like your name,do not you like your name,['you do not like your name'],['do not you like your name'],"[['you', 'do', 'not', 'like', 'your', 'name']]","[['do', 'not', 'you', 'like', 'your', 'name']]"
Cats don’t like water.,Cats don't like water.,Not Hallucination,cats do not like water,cats do not like water,['cats do not like water'],['cats do not like water'],"[['cats', 'do', 'not', 'like', 'water']]","[['cats', 'do', 'not', 'like', 'water']]"
Spiders are disgusting little creatures.,Spiders are loathsome little creatures.,Not Hallucination,spiders are disgusting little creatures,spiders are loathsome little creatures,['spiders are disgusting little creatures'],['spiders are loathsome little creatures'],"[['spiders', 'are', 'disgusting', 'little', 'creatures']]","[['spiders', 'are', 'loathsome', 'little', 'creatures']]"
I don't have time to finish it until tomorrow.,There's no way I can finish doing this by tomorrow.,Hallucination,i do not have time to finish it until tomorrow,there is no way i can finish doing this by tomorrow,['i do not have time to finish it until tomorrow'],['there is no way i can finish doing this by tomorrow'],"[['i', 'do', 'not', 'have', 'time', 'to', 'finish', 'it', 'until', 'tomorrow']]","[['there', 'is', 'no', 'way', 'i', 'can', 'finish', 'doing', 'this', 'by', 'tomorrow']]"
It's cold in my room.,It's cold in my room.,Not Hallucination,it is cold in my room,it is cold in my room,['it is cold in my room'],['it is cold in my room'],"[['it', 'is', 'cold', 'in', 'my', 'room']]","[['it', 'is', 'cold', 'in', 'my', 'room']]"
You'll give it to him in that light!,Tell him that in the afterlife.,Hallucination,you will give it to him in that light,tell him that in the afterlife,['you will give it to him in that light'],['tell him that in the afterlife'],"[['you', 'will', 'give', 'it', 'to', 'him', 'in', 'that', 'light']]","[['tell', 'him', 'that', 'in', 'the', 'afterlife']]"
Tom was not allowed to leave.,Tom wasn't allowed to leave.,Not Hallucination,tom was not allowed to leave,tom was not allowed to leave,['tom was not allowed to leave'],['tom was not allowed to leave'],"[['tom', 'was', 'not', 'allowed', 'to', 'leave']]","[['tom', 'was', 'not', 'allowed', 'to', 'leave']]"
What to do in case of fire?,What should I do in case of fire?,Not Hallucination,what to do in case of fire,what should i do in case of fire,['what to do in case of fire'],['what should i do in case of fire'],"[['what', 'to', 'do', 'in', 'case', 'of', 'fire']]","[['what', 'should', 'i', 'do', 'in', 'case', 'of', 'fire']]"
He risked his life to save Mary.,Tom risked his life to save Mary.,Not Hallucination,he risked his life to save mary,tom risked his life to save mary,['he risked his life to save mary'],['tom risked his life to save mary'],"[['he', 'risked', 'his', 'life', 'to', 'save', 'mary']]","[['tom', 'risked', 'his', 'life', 'to', 'save', 'mary']]"
Her way of speaking makes me nervous.,The way she talks gets on my nerves.,Hallucination,her way of speaking makes me nervous,the way she talks gets on my nerves,['her way of speaking makes me nervous'],['the way she talks gets on my nerves'],"[['her', 'way', 'of', 'speaking', 'makes', 'me', 'nervous']]","[['the', 'way', 'she', 'talks', 'gets', 'on', 'my', 'nerves']]"
You could've hurt yourself.,You could hurt yourself.,Not Hallucination,you could have hurt yourself,you could hurt yourself,['you could have hurt yourself'],['you could hurt yourself'],"[['you', 'could', 'have', 'hurt', 'yourself']]","[['you', 'could', 'hurt', 'yourself']]"
I hope I succeed.,I hope I succeed.,Not Hallucination,i hope i succeed,i hope i succeed,['i hope i succeed'],['i hope i succeed'],"[['i', 'hope', 'i', 'succeed']]","[['i', 'hope', 'i', 'succeed']]"
I'll find Tom.,I'll go find Tom.,Not Hallucination,i will find tom,i will go find tom,['i will find tom'],['i will go find tom'],"[['i', 'will', 'find', 'tom']]","[['i', 'will', 'go', 'find', 'tom']]"
I don't think that's weird at all.,I don't think it's strange at all.,Hallucination,i do not think that is weird at all,i do not think it is strange at all,['i do not think that is weird at all'],['i do not think it is strange at all'],"[['i', 'do', 'not', 'think', 'that', 'is', 'weird', 'at', 'all']]","[['i', 'do', 'not', 'think', 'it', 'is', 'strange', 'at', 'all']]"
It's a lot.,Its origin is unknown.,Hallucination,it is a lot,its origin is unknown,['it is a lot'],['its origin is unknown'],"[['it', 'is', 'a', 'lot']]","[['its', 'origin', 'is', 'unknown']]"
Didn't you ask me to hold your hand?,Didn't you ask me to hold your hand?,Not Hallucination,did not you ask me to hold your hand,did not you ask me to hold your hand,['did not you ask me to hold your hand'],['did not you ask me to hold your hand'],"[['did', 'not', 'you', 'ask', 'me', 'to', 'hold', 'your', 'hand']]","[['did', 'not', 'you', 'ask', 'me', 'to', 'hold', 'your', 'hand']]"
I don't work today.,I'm not working today.,Not Hallucination,i do not work today,i am not working today,['i do not work today'],['i am not working today'],"[['i', 'do', 'not', 'work', 'today']]","[['i', 'am', 'not', 'working', 'today']]"
I begged Tom to come.,I begged Tom to come.,Not Hallucination,i begged tom to come,i begged tom to come,['i begged tom to come'],['i begged tom to come'],"[['i', 'begged', 'tom', 'to', 'come']]","[['i', 'begged', 'tom', 'to', 'come']]"
My brother will kill me.,My brother's going to kill me.,Not Hallucination,my brother will kill me,my brothers going to kill me,['my brother will kill me'],['my brothers going to kill me'],"[['my', 'brother', 'will', 'kill', 'me']]","[['my', 'brothers', 'going', 'to', 'kill', 'me']]"
Does that happen to you often?,Does this happen to you a lot?,Not Hallucination,does that happen to you often,does this happen to you a lot,['does that happen to you often'],['does this happen to you a lot'],"[['does', 'that', 'happen', 'to', 'you', 'often']]","[['does', 'this', 'happen', 'to', 'you', 'a', 'lot']]"
They rejected the invitation.,They declined the invitation.,Not Hallucination,they rejected the invitation,they declined the invitation,['they rejected the invitation'],['they declined the invitation'],"[['they', 'rejected', 'the', 'invitation']]","[['they', 'declined', 'the', 'invitation']]"
Tom never saw me.,Tom never saw me.,Not Hallucination,tom never saw me,tom never saw me,['tom never saw me'],['tom never saw me'],"[['tom', 'never', 'saw', 'me']]","[['tom', 'never', 'saw', 'me']]"
Tom lives near an abandoned building.,Tom lives near an abandoned building.,Not Hallucination,tom lives near an abandoned building,tom lives near an abandoned building,['tom lives near an abandoned building'],['tom lives near an abandoned building'],"[['tom', 'lives', 'near', 'an', 'abandoned', 'building']]","[['tom', 'lives', 'near', 'an', 'abandoned', 'building']]"
Tom didn't seem to recognize me.,Tom didn't seem to recognize me.,Not Hallucination,tom did not seem to recognize me,tom did not seem to recognize me,['tom did not seem to recognize me'],['tom did not seem to recognize me'],"[['tom', 'did', 'not', 'seem', 'to', 'recognize', 'me']]","[['tom', 'did', 'not', 'seem', 'to', 'recognize', 'me']]"
You've been talking to me for so long and you don't know what my name is?,"You've been talking to me for so long, don't you know my name?!",Hallucination,you have been talking to me for so long and you do not know what my name is,you have been talking to me for so long do not you know my name,['you have been talking to me for so long and you do not know what my name is'],['you have been talking to me for so long do not you know my name'],"[['you', 'have', 'been', 'talking', 'to', 'me', 'for', 'so', 'long', 'and', 'you', 'do', 'not', 'know', 'what', 'my', 'name', 'is']]","[['you', 'have', 'been', 'talking', 'to', 'me', 'for', 'so', 'long', 'do', 'not', 'you', 'know', 'my', 'name']]"
Did Tom bribe Mary?,Did Tom bribe Mary?,Not Hallucination,did tom bribe mary,did tom bribe mary,['did tom bribe mary'],['did tom bribe mary'],"[['did', 'tom', 'bribe', 'mary']]","[['did', 'tom', 'bribe', 'mary']]"
Freedom is invaluable.,Freedom is invaluable.,Not Hallucination,freedom is invaluable,freedom is invaluable,['freedom is invaluable'],['freedom is invaluable'],"[['freedom', 'is', 'invaluable']]","[['freedom', 'is', 'invaluable']]"
She cried.,She started crying.,Not Hallucination,she cried,she started crying,['she cried'],['she started crying'],"[['she', 'cried']]","[['she', 'started', 'crying']]"
Did you find anything interesting?,Have you found something interesting?,Not Hallucination,did you find anything interesting,have you found something interesting,['did you find anything interesting'],['have you found something interesting'],"[['did', 'you', 'find', 'anything', 'interesting']]","[['have', 'you', 'found', 'something', 'interesting']]"
Can you tie this wound?,Can you dress this wound?,Not Hallucination,can you tie this wound,can you dress this wound,['can you tie this wound'],['can you dress this wound'],"[['can', 'you', 'tie', 'this', 'wound']]","[['can', 'you', 'dress', 'this', 'wound']]"
"After the earthquake, many decided to sleep in tents on the street.","After the earthquake, many people decided to sleep outside in tents.",Not Hallucination,after the earthquake many decided to sleep in tents on the street,after the earthquake many people decided to sleep outside in tents,['after the earthquake many decided to sleep in tents on the street'],['after the earthquake many people decided to sleep outside in tents'],"[['after', 'the', 'earthquake', 'many', 'decided', 'to', 'sleep', 'in', 'tents', 'on', 'the', 'street']]","[['after', 'the', 'earthquake', 'many', 'people', 'decided', 'to', 'sleep', 'outside', 'in', 'tents']]"
How did Tom know about our plan?,How did Tom know about our plan?,Not Hallucination,how did tom know about our plan,how did tom know about our plan,['how did tom know about our plan'],['how did tom know about our plan'],"[['how', 'did', 'tom', 'know', 'about', 'our', 'plan']]","[['how', 'did', 'tom', 'know', 'about', 'our', 'plan']]"
I eat here often.,I often eat here.,Not Hallucination,i eat here often,i often eat here,['i eat here often'],['i often eat here'],"[['i', 'eat', 'here', 'often']]","[['i', 'often', 'eat', 'here']]"
